na_item,geo,year,Total employment domestic concept
EMP_DC,AT,2014,4266.24
EMP_DC,BE,2014,4569.3
EMP_DC,BG,2014,3434.18
EMP_DC,CH,2014,4825.25
EMP_DC,CY,2014,363.42
EMP_DC,CZ,2014,5103.97
EMP_DC,DE,2014,42756.0
EMP_DC,DK,2014,2786.2
EMP_DC,EE,2014,609.86
EMP_DC,EL,2014,4453.7
EMP_DC,ES,2014,18092.6
EMP_DC,FI,2014,2510.0
EMP_DC,FR,2014,27452.0
EMP_DC,HR,2014,1542.33
EMP_DC,HU,2014,4196.25
EMP_DC,IE,2014,1984.01
EMP_DC,IS,2014,0.0
EMP_DC,IT,2014,24145.4
EMP_DC,LI,2014,36.68
EMP_DC,LT,2014,1325.24
EMP_DC,LU,2014,395.12
EMP_DC,LV,2014,876.63
EMP_DC,ME,2014,0.0
EMP_DC,MK,2014,762.51
EMP_DC,MT,2014,198.57
EMP_DC,NL,2014,8706.0
EMP_DC,NO,2014,2700.0
EMP_DC,PL,2014,15731.0
EMP_DC,PT,2014,4521.48
EMP_DC,RO,2014,8634.6
EMP_DC,RS,2014,3232.82
EMP_DC,SE,2014,4805.0
EMP_DC,SI,2014,931.89
EMP_DC,SK,2014,2223.15
EMP_DC,UK,2014,30752.51
EMP_DC,XK,2014,0.0
EMP_DC,AT,2015,4291.97
EMP_DC,BE,2015,4607.6
EMP_DC,BG,2015,3446.21
EMP_DC,CH,2015,4899.15
EMP_DC,CY,2015,369.12
EMP_DC,CZ,2015,5175.09
EMP_DC,DE,2015,43137.0
EMP_DC,DK,2015,2827.15
EMP_DC,EE,2015,617.75
EMP_DC,EL,2015,4322.6
EMP_DC,ES,2015,18614.8
EMP_DC,FI,2015,2518.0
EMP_DC,FR,2015,27521.2
EMP_DC,HR,2015,1561.74
EMP_DC,HU,2015,4299.17
EMP_DC,IE,2015,2053.55
EMP_DC,IS,2015,0.0
EMP_DC,IT,2015,24303.2
EMP_DC,LI,2015,36.76
EMP_DC,LT,2015,1343.87
EMP_DC,LU,2015,405.24
EMP_DC,LV,2015,889.0
EMP_DC,ME,2015,0.0
EMP_DC,MK,2015,776.75
EMP_DC,MT,2015,206.68
EMP_DC,NL,2015,8776.0
EMP_DC,NO,2015,2710.0
EMP_DC,PL,2015,15970.0
EMP_DC,PT,2015,4590.79
EMP_DC,RO,2015,8525.7
EMP_DC,RS,2015,3255.29
EMP_DC,SE,2015,4878.0
EMP_DC,SI,2015,944.09
EMP_DC,SK,2015,2267.1
EMP_DC,UK,2015,31285.03
EMP_DC,XK,2015,0.0
EMP_DC,AT,2016,4348.16
EMP_DC,BE,2016,4665.3
EMP_DC,BG,2016,3463.35
EMP_DC,CH,2016,4967.27
EMP_DC,CY,2016,386.31
EMP_DC,CZ,2016,5228.53
EMP_DC,DE,2016,43686.0
EMP_DC,DK,2016,2873.41
EMP_DC,EE,2016,629.63
EMP_DC,EL,2016,4469.5
EMP_DC,ES,2016,19012.7
EMP_DC,FI,2016,2532.0
EMP_DC,FR,2016,27719.7
EMP_DC,HR,2016,1565.52
EMP_DC,HU,2016,4441.58
EMP_DC,IE,2016,2131.38
EMP_DC,IS,2016,0.0
EMP_DC,IT,2016,24650.9
EMP_DC,LI,2016,37.45
EMP_DC,LT,2016,1374.29
EMP_DC,LU,2016,417.52
EMP_DC,LV,2016,886.3
EMP_DC,ME,2016,0.0
EMP_DC,MK,2016,788.92
EMP_DC,MT,2016,218.62
EMP_DC,NL,2016,8909.0
EMP_DC,NO,2016,2717.0
EMP_DC,PL,2016,16099.7
EMP_DC,PT,2016,4671.44
EMP_DC,RO,2016,8429.6
EMP_DC,RS,2016,3277.3
EMP_DC,SE,2016,4975.0
EMP_DC,SI,2016,961.59
EMP_DC,SK,2016,2321.05
EMP_DC,UK,2016,31745.33
EMP_DC,XK,2016,0.0
EMP_DC,AT,2017,4420.12
EMP_DC,BE,2017,4734.9
EMP_DC,BG,2017,3525.35
EMP_DC,CH,2017,5012.55
EMP_DC,CY,2017,407.14
EMP_DC,CZ,2017,5298.12
EMP_DC,DE,2017,44290.0
EMP_DC,DK,2017,2916.64
EMP_DC,EE,2017,638.5
EMP_DC,EL,2017,4446.63
EMP_DC,ES,2017,19512.3
EMP_DC,FI,2017,2547.3
EMP_DC,FR,2017,28046.8
EMP_DC,HR,2017,1603.87
EMP_DC,HU,2017,4519.53
EMP_DC,IE,2017,2197.97
