na_item,geo,year,Total population national concept
POP_NC,AD,2014 ,79.21
POP_NC,AE,2014 ,9214.18
POP_NC,AF,2014 ,33370.79
POP_NC,AG,2014 ,92.56
POP_NC,AI,2014 ,14.11
POP_NC,AL,2014 ,2889.1
POP_NC,AM,2014 ,2906.22
POP_NC,AO,2014 ,26941.78
POP_NC,AR,2014 ,42669.5
POP_NC,AT,2014 ,8543.93
POP_NC,AU,2014 ,23475.7
POP_NC,AW,2014 ,103.77
POP_NC,AZ,2014 ,9503.77
POP_NC,BB,2014 ,283.39
POP_NC,BD,2014 ,154517.38
POP_NC,BE,2014 ,11209.1
POP_NC,BF,2014 ,17585.98
POP_NC,BG,2014 ,7073.57
POP_NC,BH,2014 ,1336.08
POP_NC,BI,2014 ,9844.3
POP_NC,BJ,2014 ,10286.84
POP_NC,BN,2014 ,411.7
POP_NC,BO,2014 ,10562.16
POP_NC,BQ,2014 ,24.07
POP_NC,BR,2014 ,201717.5
POP_NC,BS,2014 ,370.63
POP_NC,BT,2014 ,719.06
POP_NC,BW,2014 ,2168.57
POP_NC,BY,2014 ,9484.85
POP_NC,BZ,2014 ,351.69
POP_NC,CA,2014 ,35434.1
POP_NC,CD,2014 ,73767.45
POP_NC,CF,2014 ,4464.18
POP_NC,CG,2014 ,4736.98
POP_NC,CH,2014 ,8188.54
POP_NC,CI,2014 ,22531.35
POP_NC,CL,2014 ,17787.6
POP_NC,CM,2014 ,22239.9
POP_NC,CN,2014 ,1376460.0
POP_NC,CO,2014 ,44914.1
POP_NC,CR,2014 ,4770.7
POP_NC,CU,2014 ,11306.9
POP_NC,CV,2014 ,526.44
POP_NC,CW,2014 ,158.42
POP_NC,CY,2014 ,852.5
POP_NC,CZ,2014 ,10503.79
POP_NC,DE,2014 ,80983.0
POP_NC,DJ,2014 ,898.7
POP_NC,DK,2014 ,5643.35
POP_NC,DM,2014 ,71.09
POP_NC,DO,2014 ,10405.84
POP_NC,DZ,2014 ,39113.31
POP_NC,EC,2014 ,15903.11
POP_NC,EE,2014 ,1315.8
POP_NC,EG,2014 ,91812.57
POP_NC,EL,2014 ,10892.38
POP_NC,ER,2014 ,4746.05
