country,Anno,Valore
AL,2014 ,
AT,2014 ,158710.0
BA,2014 ,6946.4
BE,2014 ,206318.0
BG,2014 ,17512.1
CH,2014 ,314522.0
CY,2014 ,7901.0
CZ,2014 ,65232.0
DE,2014 ,1531870.0
DK,2014 ,136207.8
19,2014 ,4898564.3
20,2014 ,4918869.4
EE,2014 ,9168.9
EL,2014 ,63106.0
ES,2014 ,476301.0
20,2014 ,5599196.2
FI,2014 ,101375.0
FR,2014 ,1126854.6
HR,2014 ,20305.1
HU,2014 ,45334.5
IE,2014 ,76182.6
IS,2014 ,6725.7
IT,2014 ,635937.9
LI,2014 ,2835.3
LT,2014 ,14619.0
LU,2014 ,24041.5
LV,2014 ,10095.5
ME,2014 ,1325.8
MK,2014 ,2861.1
MT,2014 ,3747.8
NL,2014 ,328743.0
NO,2014 ,172632.3
PL,2014 ,155491.2
PT,2014 ,76707.2
RO,2014 ,49056.9
RS,2014 ,13456.1
SE,2014 ,211492.1
SI,2014 ,18197.5
SK,2014 ,28687.7
TR,2014 ,203185.3
UK,2014 ,1121016.7
XK,2014 ,: 
AL,2014 ,
AL,2015 ,
AT,2015 ,163631.4
BA,2015 ,7104.2
BE,2015 ,208238.0
BG,2015 ,18681.9
CH,2015 ,364410.9
CY,2015 ,7929.1
CZ,2015 ,69231.2
DE,2015 ,1594004.0
DK,2015 ,140355.5
19,2015 ,5033354.7
20,2015 ,5054105.2
EE,2015 ,9761.1
EL,2015 ,62288.1
ES,2015 ,497019.0
20,2015 ,5757584.7
FI,2015 ,102572.0
FR,2015 ,1143090.7
HR,2015 ,20750.4
HU,2015 ,47234.3
IE,2015 ,80971.6
IS,2015 ,7910.7
IT,2015 ,649315.1
LI,2015 ,3193.0
LT,2015 ,15657.8
LU,2015 ,25058.1
LV,2015 ,10893.7
ME,2015 ,1394.6
MK,2015 ,3005.5
MT,2015 ,4129.2
NL,2015 ,330994.0
NO,2015 ,166023.7
PL,2015 ,161835.8
PT,2015 ,78646.2
RO,2015 ,51410.0
RS,2015 ,13337.4
SE,2015 ,214730.8
SI,2015 ,18712.6
SK,2015 ,30443.0
TR,2015 ,225988.7
UK,2015 ,1280859.4
XK,2015 ,: 
AL,2015 ,
AL,2016 ,
AT,2016 ,170010.9
BA,2016 ,7222.3
BE,2016 ,212286.1
BG,2016 ,20118.5
CH,2016 ,361323.2
CY,2016 ,8231.9
CZ,2016 ,73946.0
DE,2016 ,1657401.0
DK,2016 ,145219.2
19,2016 ,5185501.8
20,2016 ,5207045.7
EE,2016 ,10379.7
EL,2016 ,63529.9
ES,2016 ,508025.0
20,2016 ,5943903.1
FI,2016 ,104283.0
FR,2016 ,1164986.1
HR,2016 ,21543.9
HU,2016 ,50057.3
IE,2016 ,86369.8
IS,2016 ,9696.6
IT,2016 ,665223.5
LI,2016 ,3151.3
LT,2016 ,17011.2
LU,2016 ,25994.5
LV,2016 ,11558.1
ME,2016 ,1547.0
MK,2016 ,3277.8
MT,2016 ,4530.1
NL,2016 ,342642.0
NO,2016 ,162568.6
PL,2016 ,165200.1
PT,2016 ,81294.1
RO,2016 ,59891.0
RS,2016 ,13788.6
SE,2016 ,222425.3
SI,2016 ,19740.7
SK,2016 ,32004.3
TR,2016 ,251310.1
UK,2016 ,1179798.2
XK,2016 ,: 
AL,2016 ,
AL,2017 ,
AT,2017 ,175965.9
BA,2017 ,
BE,2017 ,219529.6
BG,2017 ,22302.9
CH,2017 ,359229.7
CY,2017 ,8840.0
CZ,2017 ,82825.3
DE,2017 ,1732387.0
DK,2017 ,150075.5
19,2017 ,5382349.1
20,2017 ,5405113.5
EE,2017 ,11317.7
EL,2017 ,64075.9
ES,2017 ,528140.0
20,2017 ,6195693.8
FI,2017 ,105061.0
FR,2017 ,1202199.0
HR,2017 ,22764.3
HU,2017 ,54716.1
IE,2017 ,92389.5
IS,2017 ,11825.4
IT,2017 ,682754.8
LI,2017 ,3238.6
LT,2017 ,18560.2
LU,2017 ,27765.5
LV,2017 ,12468.3
ME,2017 ,1700.9
MK,2017 ,3513.9
MT,2017 ,4951.0
NL,2017 ,354478.0
NO,2017 ,167229.2
PL,2017 ,181928.1
PT,2017 ,85900.3
RO,2017 ,69537.5
RS,2017 ,14938.4
SE,2017 ,229194.8
SI,2017 ,21011.3
SK,2017 ,34554.1
TR,2017 ,229824.4
UK,2017 ,1148630.6
XK,2017 ,: 
AL,2017 ,
AL,2018 ,3102.8
AT,2018 ,184918.1
BA,2018 ,
BE,2018 ,226729.6
BG,2018 ,24664.1
CH,2018 ,353404.0
CY,2018 ,9553.2
CZ,2018 ,93302.5
DE,2018 ,1816102.0
DK,2018 ,154919.3
19,2018 ,5603918.0
20,2018 ,5628428.7
EE,2018 ,12464.5
EL,2018 ,66360.9
ES,2018 ,550649.0
20,2018 ,6461851.4
FI,2018 ,109146.0
FR,2018 ,1231985.4
HR,2018 ,24510.6
HU,2018 ,57510.6
IE,2018 ,98291.8
IS,2018 ,12292.1
IT,2018 ,703650.4
LI,2018 ,3200.8
LT,2018 ,20382.3
LU,2018 ,29708.7
LV,2018 ,13874.5
ME,2018 ,1863.9
MK,2018 ,3724.5
MT,2018 ,5646.4
NL,2018 ,372900.0
NO,2018 ,170756.0
PL,2018 ,196960.9
PT,2018 ,91521.8
RO,2018 ,78335.2
RS,2018 ,16801.9
SE,2018 ,227730.2
SI,2018 ,22584.4
SK,2018 ,37449.0
TR,2018 ,197806.8
UK,2018 ,1184844.8
XK,2018 ,: 
AL,2018 ,24.2
AL,2019 ,3503.6
AT,2019 ,192668.1
BA,2019 ,
BE,2019 ,234996.0
BG,2019 ,26777.4
CH,2019 ,377740.9
CY,2019 ,10582.2
CZ,2019 ,100488.7
DE,2019 ,1899063.0
DK,2019 ,159854.8
19,2019 ,5815631.6
20,2019 ,5840972.7
EE,2019 ,13583.3
EL,2019 ,68215.9
ES,2019 ,585833.0
20,2019 ,6718322.4
FI,2019 ,112627.0
FR,2019 ,1243041.1
HR,2019 ,25341.1
HU,2019 ,62033.6
IE,2019 ,106263.6
IS,2019 ,11797.4
IT,2019 ,718956.8
LI,2019 ,3502.6
LT,2019 ,22644.6
LU,2019 ,31337.1
LV,2019 ,14933.9
ME,2019 ,1971.3
MK,2019 ,3987.1
MT,2019 ,6179.4
NL,2019 ,393062.0
NO,2019 ,175944.5
PL,2019 ,212937.7
PT,2019 ,96957.5
RO,2019 ,86552.5
RS,2019 ,18754.8
SE,2019 ,228704.9
SI,2019 ,24391.7
SK,2019 ,40295.5
TR,2019 ,212423.9
UK,2019 ,1251553.4
XK,2019 ,: 
AL,2019 ,25.2 
AL,2020 ,3459.6
AT,2020 ,192083.9
BA,2020 ,
BE,2020 ,230892.4
BG,2020 ,27904.3
CH,2020 ,387678.9
CY,2020 ,10572.1
CZ,2020 ,99187.4
DE,2020 ,1894056.0
DK,2020 ,162376.9
19,2020 ,5705453.3
20,2020 ,5730305.8
EE,2020 ,13814.7
EL,2020 ,65290.2
ES,2020 ,561866.0
20,2020 ,6613792.0
FI,2020 ,110869.0
FR,2020 ,1195011.5
HR,2020 ,24852.5
HU,2020 ,58348.4
IE,2020 ,106103.0
IS,2020 ,10144.1
IT,2020 ,677961.2
LI,2020 ,3526.8
LT,2020 ,23825.7
LU,2020 ,32254.5
LV,2020 ,15015.5
ME,2020 ,1879.3
MK,2020 ,4214.3
MT,2020 ,6445.5
NL,2020 ,406330.0
NO,2020 ,162035.0
PL,2020 ,215341.4
PT,2020 ,96895.0
RO,2020 ,86956.3
RS,2020 ,20760.7
SE,2020 ,233371.4
SI,2020 ,25114.3
SK,2020 ,41052.7
TR,2020 ,183573.3
UK,2020 ,
XK,2020 ,: 
AL,2020 ,25.9
AL,2021 ,3962.5
AT,2021 ,201416.4
BA,2021 ,
BE,2021 ,245676.8
BG,2021 ,31356.8
CH,2021 ,400689.2
CY,2021 ,11408.0
CZ,2021 ,109727.0
DE,2021 ,1963032.0 
DK,2021 ,171849.4
19,2021 ,6053243.5
20,2021 ,6079850.9
EE,2021 ,15058.8
EL,2021 ,70113.9
ES,2021 ,604193.0
20,2021 ,7028943.8
FI,2021 ,118106.0
FR,2021 ,1285635.5
HR,2021 ,26607.4
HU,2021 ,62559.2
IE,2021 ,117272.1
IS,2021 ,11566.3
IT,2021 ,738220.6
LI,2021 ,3749.2
LT,2021 ,26970.5
LU,2021 ,34910.5
LV,2021 ,15869.1
ME,2021 ,2010.8
MK,2021 ,4505.2
MT,2021 ,6923.0
NL,2021 ,423799.0
