geo,country,year,Gdp_debt,Deficit/Surplus
AT,Austria,2014,85.2,-1.9
BE,Belgium,2014,106.5,-3.2
BG,Bulgaria,2014,27.0,-5.4
CY,Cyprus,2014,112.7,-8.8
CZ,Czech Republic,2014,41.5,-2.1
DE,Germany,2014,74.5,0.7
DK,Denmark,2014,48.7,1.4
EE,Estonia,2014,11.6,0.9
EL,Greece,2014,182.7,-3.8
ES,Spain,2014,104.4,-6.0
FI,Finland,2014,64.8,-3.0
FR,France,2014,96.1,-4.6
HR,Croatia,2014,83.2,-5.1
HU,Hungary,2014,76.5,-2.8
IE,Ireland,2014,101.3,-3.5
IT,Italy,2014,134.8,-2.8
LT,Lithuania,2014,40.7,-1.8
LU,Luxembourg,2014,21.9,1.3
LV,Latvia,2014,43.1,-1.7
MT,Malta,2014,60.7,-1.5
NL,Netherlands,2014,67.2,-2.2
PL,Poland,2014,51.1,-3.7
PT,Portugal,2014,132.5,-7.4
RO,Romania,2014,39.1,-1.2
SE,Sweden,2014,45.7,-1.8
SI,Slovenia,2014,81.1,-4.5
SK,Slovakia,2014,53.4,-3.2
AT,Austria,2015,85.6,-0.5
BE,Belgium,2015,105.6,-2.5
BG,Bulgaria,2015,25.9,-1.9
CY,Cyprus,2015,111.6,-0.8
CZ,Czech Republic,2015,39.5,-0.7
DE,Germany,2015,71.2,0.9
DK,Denmark,2015,44.6,-0.9
EE,Estonia,2015,10.8,0.2
EL,Greece,2015,179.6,-5.9
ES,Spain,2015,102.5,-5.3
FI,Finland,2015,68.8,-2.4
FR,France,2015,96.9,-3.9
HR,Croatia,2015,82.8,-3.5
HU,Hungary,2015,75.7,-2.0
IE,Ireland,2015,74.0,-2.0
IT,Italy,2015,134.7,-2.5
LT,Lithuania,2015,42.4,-0.8
LU,Luxembourg,2015,21.1,1.3
LV,Latvia,2015,38.3,-1.5
MT,Malta,2015,55.0,-0.8
NL,Netherlands,2015,63.8,-1.8
PL,Poland,2015,51.1,-2.6
PT,Portugal,2015,131.0,-4.5
RO,Romania,2015,37.7,-0.5
SE,Sweden,2015,44.5,-0.3
SI,Slovenia,2015,83.4,-2.8
SK,Slovakia,2015,51.6,-2.8
AT,Austria,2016,83.4,-1.5
BE,Belgium,2016,105.4,-2.4
BG,Bulgaria,2016,29.1,0.3
CY,Cyprus,2016,106.9,0.5
CZ,Czech Republic,2016,36.2,0.7
DE,Germany,2016,68.3,1.1
DK,Denmark,2016,41.7,0.3
EE,Estonia,2016,10.2,-0.1
EL,Greece,2016,183.1,0.2
ES,Spain,2016,102.0,-4.2
FI,Finland,2016,68.6,-1.7
FR,France,2016,98.1,-3.8
HR,Croatia,2016,79.3,-1.0
HU,Hungary,2016,74.6,-1.8
IE,Ireland,2016,72.6,-0.8
IT,Italy,2016,134.2,-2.4
LT,Lithuania,2016,39.8,0.0
LU,Luxembourg,2016,19.6,1.9
LV,Latvia,2016,41.7,0.0
MT,Malta,2016,53.1,1.1
NL,Netherlands,2016,60.8,0.2
PL,Poland,2016,54.1,-2.4
PT,Portugal,2016,131.2,-1.9
RO,Romania,2016,37.8,-2.5
SE,Sweden,2016,42.8,0.9
SI,Slovenia,2016,79.4,-2.0
SK,Slovakia,2016,52.1,-2.6
AT,Austria,2017,79.1,-0.8
BE,Belgium,2017,102.5,-0.8
BG,Bulgaria,2017,25.1,1.6
CY,Cyprus,2017,96.5,2.1
CZ,Czech Republic,2017,33.8,1.5
DE,Germany,2017,64.0,1.3
DK,Denmark,2017,40.2,1.7
EE,Estonia,2017,9.4,-0.5
EL,Greece,2017,182.1,0.7
ES,Spain,2017,101.2,-3.1
FI,Finland,2017,66.6,-0.6
FR,France,2017,98.7,-3.4
HR,Croatia,2017,76.2,0.5
HU,Hungary,2017,72.0,-2.5
IE,Ireland,2017,65.2,-0.3
