countries;2015;2016;2017;2018;2019;2020;2021;2022;2023
Belgium;11.274,20;11.331,40;11.375,20;11.427,10;11.489,00;11.538,70;11.586,30;11.680,20;11.780,00
Bulgaria;6.984,23;6.894,14;6.803,47;6.710,80;6.616,73;6.550,70;6.507,30;6.465,10;6.446,60
Czechia;10.507,55;10.513,67;10.520,95;10.534,23;10.550,31;10.502,15;10.500,85;10.759,53;10.878,04
Denmark;5.682,45;5.728,75;5.765,10;5.793,87;5.816,94;5.829,70;5.854,42;5.906,39;5.947,99
Germany;81.687,00;82.349,00;82.657,00;82.906,00;83.093,00;83.161,00;83.196,00;83.798,00;84.514,00
Estonia;1.313,30;1.315,90;1.315,60;1.319,13;1.324,82;1.328,89;1.330,07;1.331,80;1.365,88
Ireland;4.695,77;4.752,46;4.821,08;4.890,41;4.967,46;5.034,43;5.091,85;5.199,75;5.295,87
Greece;10.820,91;10.775,98;10.754,69;10.732,89;10.721,57;10.698,59;10.640,41;10.579,18;10.548,14
Spain;46.384,38;46.427,10;46.510,46;46.715,38;47.087,78;47.344,85;47.346,84;47.781,35;48.382,51
France;66.313,90;66.563,40;66.830,30;67.134,50;67.396,30;67.627,30;67.871,30;68.077,50;68.287,50
Croatia;4.207,99;4.172,44;4.129,85;4.090,87;3.987,06;3.950,40;3.922,94;3.917,98;3.942,32
Italy;60.229,60;60.115,20;60.002,30;59.877,20;59.729,10;59.438,90;59.133,20;59.013,70;58.984,20
Cyprus;845,66;851,56;859,52;870,07;881,95;892,00;900,35;912,70;927,11
Latvia;1.977,31;1.959,34;1.941,16;1.926,25;1.913,19;1.900,86;1.884,75;1.886,23;1.881,54
Lithuania;2.911,11;2.877,33;2.842,64;2.819,20;2.811,09;2.810,37;2.808,38;2.831,64;2.871,59
Luxembourg;569,40;584,13;596,98;608,81;621,53;631,15;641,14;655,28;667,76
Hungary;9.797,76;9.759,76;9.726,76;9.706,96;9.694,82;9.670,42;9.630,93;9.605,07;9.592,19
Malta;444,40;454,58;467,39;484,38;504,56;515,35;518,17;532,00;553,58
Netherlands;16.940,00;17.030,00;17.131,00;17.232,00;17.345,00;17.442,00;17.533,00;17.701,00;17.877,00
Austria;8.629,52;8.739,81;8.795,07;8.837,71;8.877,64;8.916,85;8.951,54;9.052,87;9.130,73
Poland;37.981,59;37.956,78;37.962,32;37.956,27;37.948,14;37.165,86;36.972,73;37.779,21;37.630,45
Portugal;10.381,84;10.356,52;10.340,12;10.334,63;10.354,45;10.384,85;10.407,71;10.468,87;10.578,17
Romania;19.822,25;19.706,42;19.592,93;19.483,84;19.394,23;19.296,08;19.140,43;19.052,69;19.063,66
Slovenia;2.063,30;2.064,63;2.065,82;2.071,96;2.089,01;2.102,80;2.107,73;2.109,39;2.120,54
Slovakia;5.422,34;5.430,80;5.438,39;5.446,01;5.453,24;5.460,51;5.440,66;5.457,17;5.457,49
Finland;5.480,50;5.495,30;5.508,20;5.516,20;5.521,60;5.530,70;5.541,50;5.556,90;5.577,40
Sweden;9.799,19;9.915,44;10.057,70;10.175,21;10.284,07;10.353,44;10.415,81;10.527,18;10.599,41
Iceland;324,50;329,30;337,30;345,80;351,80;356,20;361,60;370,10;379,50
Liechtenstein;38,06;38,28;38,57;38,78;39,16;39,43;39,71;40,46;40,99
Norway;5.190,00;5.236,00;5.277,00;5.312,00;5.348,00;5.379,00;5.408,00;5.457,00;5.520,00
Switzerland;8.289,77;8.379,32;8.457,41;8.518,33;8.579,57;8.644,35;8.708,22;8.782,33;8.915,29
United Kingdom;65.110,00;65.648,00;66.040,00;66.436,00;66.797,00;:;:;:;:
Serbia;7.095,38;7.058,32;7.020,86;6.982,60;6.945,24;6.899,13;6.834,33;6.664,45;6.623,18
