anno,paese,gva_primario,gva_secondario,gva_terziario
2014,ALBANIA,1992.7,1285.6,530.9
2014,AUSTRIA,4210.8,66621.2,56735.9
2014,BELGIO,2901.6,60613.7,50959.1
2014,BOSNIA ERZ.,832.5,2526.5,1530.3
2014,BULGARIA,1961.4,8435.5,5605.1
2014,CIPRO,322.5,1090.1,712.9
2014,CROAZIA,1301.3,7553.2,5637.9
2014,DANIMARCA,3595.2,40893.0,31423.1
2014,ESTONIA,634.4,3830.3,2843.3
2014,FINLANDIA,4565.0,36389.0,30060.0
2014,FRANCIA,31477.8,262884.0,219282.3
2014,GERMANIA,27326.0,664040.0,600530.0
2014,GRECIA,6221.4,21902.8,13721.7
2014,IRLANDA,2441.9,44210.2,39289.2
2014,ISLANDA,709.6,2143.3,1535.8
2014,ITALIA,31220.3,265877.4,226342.7
2014,LETTONIA,824.2,3175.7,2484.1
2014,LIECHTENSTEIN,,,
2014,LITUANIA,1252.6,7630.5,6336.2
2014,LUSSEMBURGO,150.0,3121.6,2448.8
2014,MACEDONIA,871.4,1360.9,937.7
2014,MALTA,89.6,865.8,747.8
2014,MONTENEGRO,280.1,376.6,134.2
2014,NORVEGIA,5235.7,111135.0,26064.7
2014,PAESI BASSI,12222.0,94166.0,65571.0
2014,POLONIA,12143.7,92115.8,69105.9
2014,PORTOGALLO,3423.2,26575.2,20507.9
2014,REGNO UNITO,17447.8,302323.5,217019.8
2014,REPUBBLICA CECA,3804.2,45261.9,37314.0
2014,ROMANIA,7448.7,39429.8,32383.7
2014,SERBIA,2264.3,8723.5,6744.2
2014,SLOVACCHIA,2002.0,17450.6,14190.2
2014,SLOVENIA,678.8,8544.1,7321.0
2014,SPAGNA,26254.0,151045.0,114259.0
2014,SVEZIA,5452.4,71459.4,56825.1
2014,SVIZZERA,3884.8,106208.0,96173.9
2014,TURCHIA,46359.7,141843.7,118576.0
2014,UNGHERIA,4195.2,23553.7,20654.0
2015,ALBANIA,2030.3,1319.6,582.1
2015,AUSTRIA,3912.2,68437.2,58985.2
2015,BELGIO,3119.1,61915.5,52223.7
2015,BOSNIA ERZ.,893.0,2641.2,1644.4
2015,BULGARIA,1860.3,9278.7,6242.0
2015,CIPRO,335.2,1193.9,764.4
2015,CROAZIA,1348.2,7602.8,5794.1
2015,DANIMARCA,2472.4,41431.3,33982.0
2015,ESTONIA,589.7,3758.3,2869.0
2015,FINLANDIA,4331.0,37511.0,31195.0
2015,FRANCIA,33100.3,271001.1,227182.7
2015,GERMANIA,21872.0,684875.0,621786.0
2015,GRECIA,6701.6,22121.8,14544.6
2015,IRLANDA,2365.3,99355.2,95003.1
2015,ISLANDA,835.7,2384.1,1695.3
2015,ITALIA,33124.6,274001.5,237222.4
2015,LETTONIA,844.0,3388.3,2575.3
2015,LIECHTENSTEIN,,,
2015,LITUANIA,1286.7,7580.5,6454.8
2015,LUSSEMBURGO,121.1,3663.3,2966.8
2015,MACEDONIA,882.5,1526.1,1066.9
2015,MALTA,96.2,889.7,732.0
2015,MONTENEGRO,294.6,387.2,149.4
2015,NORVEGIA,5182.8,90827.0,24348.6
2015,PAESI BASSI,12627.0,95632.0,70958.0
