countries,year,employes,id,sigle_paesi
Belgium,2015,"3.921,10",1,BE
Bulgaria,2015,"2.530,85",2,BG
Czechia,2015,"4.396,97",3,CZ
Denmark,2015,"2.607,62",4,DK
Germany,2015,"38.631,00",5,DE
Estonia,2015,"583,50",6,EE
Ireland,2015,"1.719,78",7,IE
Greece,2015,"2.946,02",8,EL
Spain,2015,"15.815,80",9,ES
France,2015,"25.116,20",10,FR
Croatia,2015,"1.336,85",11,HR
Italy,2015,"17.598,10",12,IT
Cyprus,2015,"326,25",13,CY
Latvia,2015,"785,35",14,LV
Lithuania,2015,"1.173,42",15,LT
Luxembourg,2015,"223,37",16,LU
Hungary,2015,"4.025,59",17,HU
Malta,2015,"179,79",18,MT
Netherlands,2015,"7.172,00",19,NL
Austria,2015,"3.645,55",20,AT
Poland,2015,"12.669,00",21,PL
Portugal,2015,"3.896,13",22,PT
Romania,2015,"6.279,01",23,RO
Slovenia,2015,"763,80",24,SI
Slovakia,2015,"2.056,59",25,SK
Finland,2015,"2.210,90",26,FI
Sweden,2015,"4.306,30",27,SE
Iceland,2015,"170,20",28,IS
Liechtenstein,2015,"18,06",29,LI
Norway,2015,"2.481,00",30,NO
Switzerland,2015,"4.070,27",31,CH
United Kingdom,2015,"26.607,00",32,UK
Serbia,2015,"1.929,62",33,RS
Belgium,2016,"3.966,90",34,BE
Bulgaria,2016,"2.576,08",35,BG
Czechia,2016,"4.433,75",36,CZ
Denmark,2016,"2.658,14",37,DK
Germany,2016,"39.208,00",38,DE
Estonia,2016,"586,30",39,EE
Ireland,2016,"1.789,41",40,IE
Greece,2016,"3.122,96",41,EL
Spain,2016,"16.180,50",42,ES
France,2016,"25.325,80",43,FR
Croatia,2016,"1.368,82",44,HR
Italy,2016,"17.982,70",45,IT
Cyprus,2016,"341,29",46,CY
Latvia,2016,"781,06",47,LV
Lithuania,2016,"1.197,04",48,LT
Luxembourg,2016,"228,59",49,LU
Hungary,2016,"4.158,33",50,HU
Malta,2016,"190,40",51,MT
Netherlands,2016,"7.281,00",52,NL
Austria,2016,"3.702,12",53,AT
Poland,2016,"12.841,00",54,PL
Portugal,2016,"3.975,69",55,PT
Romania,2016,"6.404,48",56,RO
Slovenia,2016,"782,06",57,SI
Slovakia,2016,"2.107,68",58,SK
Finland,2016,"2.226,30",59,FI
Sweden,2016,"4.382,60",60,SE
Iceland,2016,"178,50",61,IS
Liechtenstein,2016,"18,10",62,LI
Norway,2016,"2.493,00",63,NO
Switzerland,2016,"4.135,65",64,CH
United Kingdom,2016,"26.854,00",65,UK
Serbia,2016,"1.959,67",66,RS
Belgium,2017,"4.024,50",67,BE
Bulgaria,2017,"2.584,39",68,BG
Czechia,2017,"4.497,31",69,CZ
Denmark,2017,"2.700,62",70,DK
Germany,2017,"39.855,00",71,DE
Estonia,2017,"593,90",72,EE
Ireland,2017,"1.862,62",73,IE
Greece,2017,"3.115,47",74,EL
Spain,2017,"16.698,60",75,ES
France,2017,"25.642,10",76,FR
Croatia,2017,"1.423,97",77,HR
Italy,2017,"18.319,10",78,IT
Cyprus,2017,"360,74",79,CY
Latvia,2017,"787,57",80,LV
Lithuania,2017,"1.195,63",81,LT
Luxembourg,2017,"235,95",82,LU
Hungary,2017,"4.244,14",83,HU
Malta,2017,"199,61",84,MT
Netherlands,2017,"7.458,00",85,NL
Austria,2017,"3.767,57",86,AT
Poland,2017,"13.070,00",87,PL
Portugal,2017,"4.116,63",88,PT
Romania,2017,"6.598,83",89,RO
Slovenia,2017,"805,27",90,SI
Slovakia,2017,"2.145,14",91,SK
Finland,2017,"2.254,80",92,FI
Sweden,2017,"4.488,30",93,SE
Iceland,2017,"186,90",94,IS
Liechtenstein,2017,"18,27",95,LI
Norway,2017,"2.524,00",96,NO
Switzerland,2017,"4.167,81",97,CH
United Kingdom,2017,"27.146,00",98,UK
Serbia,2017,"2.013,02",99,RS
Belgium,2018,"4.081,70",100,BE
Bulgaria,2018,"2.605,95",101,BG
Czechia,2018,"4.543,99",102,CZ
Denmark,2018,"2.742,82",103,DK
Germany,2018,"40.484,00",104,DE
Estonia,2018,"595,75",105,EE
Ireland,2018,"1.926,31",106,IE
Greece,2018,"3.339,48",107,EL
Spain,2018,"17.115,50",108,ES
France,2018,"25.890,80",109,FR
Croatia,2018,"1.455,20",110,HR
Italy,2018,"18.523,20",111,IT
Cyprus,2018,"382,31",112,CY
Latvia,2018,"815,06",113,LV
Lithuania,2018,"1.218,27",114,LT
Luxembourg,2018,"242,88",115,LU
Hungary,2018,"4.285,69",116,HU
Malta,2018,"212,25",117,MT
Netherlands,2018,"7.657,00",118,NL
Austria,2018,"3.844,90",119,AT
Poland,2018,"13.142,00",120,PL
Portugal,2018,"4.202,52",121,PT
Romania,2018,"6.706,71",122,RO
Slovenia,2018,"834,34",123,SI
Slovakia,2018,"2.187,64",124,SK
Finland,2018,"2.312,90",125,FI
Sweden,2018,"4.561,70",126,SE
Iceland,2018,"192,80",127,IS
Liechtenstein,2018,"18,46",128,LI
Norway,2018,"2.566,00",129,NO
Switzerland,2018,"4.206,42",130,CH
United Kingdom,2018,"27.547,00",131,UK
Serbia,2018,"2.081,59",132,RS
Belgium,2019,"4.144,10",133,BE
Bulgaria,2019,"2.646,20",134,BG
Czechia,2019,"4.531,54",135,CZ
Denmark,2019,"2.786,96",136,DK
Germany,2019,"40.964,00",137,DE
Estonia,2019,"600,30",138,EE
Ireland,2019,"2.001,61",139,IE
Greece,2019,"3.441,71",140,EL
Spain,2019,"17.606,30",141,ES
France,2019,"26.141,00",142,FR
Croatia,2019,"1.397,34",143,HR
Italy,2019,"18.684,70",144,IT
Cyprus,2019,"401,09",145,CY
Latvia,2019,"836,03",146,LV
Lithuania,2019,"1.221,67",147,LT
Luxembourg,2019,"249,55",148,LU
Hungary,2019,"4.316,00",149,HU
Malta,2019,"223,96",150,MT
Netherlands,2019,"7.807,00",151,NL
Austria,2019,"3.889,50",152,AT
Poland,2019,"13.573,00",153,PL
Portugal,2019,"4.231,52",154,PT
Romania,2019,"6.809,36",155,RO
Slovenia,2019,"854,89",156,SI
Slovakia,2019,"2.194,93",157,SK
Finland,2019,"2.345,10",158,FI
Sweden,2019,"4.585,30",159,SE
Iceland,2019,"192,30",160,IS
Liechtenstein,2019,"18,82",161,LI
Norway,2019,"2.603,00",162,NO
Switzerland,2019,"4.256,25",163,CH
United Kingdom,2019,"27.701,00",164,UK
Serbia,2019,"2.119,38",165,RS
Belgium,2020,"4.121,80",166,BE
Bulgaria,2020,"2.573,29",167,BG
Czechia,2020,"4.456,24",168,CZ
Denmark,2020,"2.755,55",169,DK
Germany,2020,"40.766,00",170,DE
Estonia,2020,"587,62",171,EE
Ireland,2020,"1.942,81",172,IE
Greece,2020,"3.309,82",173,EL
Spain,2020,"16.763,10",174,ES
France,2020,"26.063,30",175,FR
Croatia,2020,"1.376,92",176,HR
Italy,2020,"18.395,30",177,IT
Cyprus,2020,"398,27",178,CY
Latvia,2020,"816,93",179,LV
Lithuania,2020,"1.205,42",180,LT
Luxembourg,2020,"253,34",181,LU
Hungary,2020,"4.240,37",182,HU
Malta,2020,"230,06",183,MT
Netherlands,2020,"7.761,00",184,NL
Austria,2020,"3.822,95",185,AT
Poland,2020,"13.507,00",186,PL
Portugal,2020,"4.151,18",187,PT
Romania,2020,"6.708,80",188,RO
Slovenia,2020,"850,26",189,SI
Slovakia,2020,"2.153,09",190,SK
Finland,2020,"2.294,60",191,FI
Sweden,2020,"4.509,80",192,SE
Iceland,2020,"182,90",193,IS
Liechtenstein,2020,"18,86",194,LI
Norway,2020,"2.571,00",195,NO
Switzerland,2020,"4.256,98",196,CH
United Kingdom,2020,:,197,UK
Serbia,2020,"2.156,83",198,RS
Belgium,2021,"4.177,90",199,BE
Bulgaria,2021,"2.598,15",200,BG
Czechia,2021,"4.479,65",201,CZ
Denmark,2021,"2.822,39",202,DK
Germany,2021,"40.919,00",203,DE
Estonia,2021,"586,10",204,EE
Ireland,2021,"2.086,25",205,IE
Greece,2021,"3.499,99",206,EL
Spain,2021,"17.223,00",207,ES
France,2021,"26.718,00",208,FR
Croatia,2021,"1.380,66",209,HR
Italy,2021,"18.661,40",210,IT
Cyprus,2021,"411,09",211,CY
Latvia,2021,"796,01",212,LV
Lithuania,2021,"1.211,70",213,LT
Luxembourg,2021,"258,81",214,LU
Hungary,2021,"4.213,41",215,HU
Malta,2021,"235,42",216,MT
Netherlands,2021,"7.870,00",217,NL
Austria,2021,"3.888,22",218,AT
Poland,2021,"13.823,00",219,PL
Portugal,2021,"4.195,53",220,PT
Romania,2021,"6.740,92",221,RO
Slovenia,2021,"859,94",222,SI
Slovakia,2021,"2.118,34",223,SK
Finland,2021,"2.348,60",224,FI
Sweden,2021,"4.542,70",225,SE
Iceland,2021,"185,70",226,IS
Liechtenstein,2021,"19,25",227,LI
Norway,2021,"2.619,00",228,NO
Switzerland,2021,"4.261,12",229,CH
United Kingdom,2021,:,230,UK
Serbia,2021,"2.229,61",231,RS
Belgium,2022,"4.256,40",232,BE
Bulgaria,2022,"2.609,12",233,BG
Czechia,2022,"4.507,09",234,CZ
Denmark,2022,"2.941,14",235,DK
Germany,2022,"41.570,00",236,DE
Estonia,2022,"612,53",237,EE
Ireland,2022,"2.232,14",238,IE
Greece,2022,"3.608,49",239,EL
Spain,2022,"17.817,10",240,ES
France,2022,"27.311,60",241,FR
Croatia,2022,"1.389,55",242,HR
Italy,2022,"19.116,20",243,IT
Cyprus,2022,"427,64",244,CY
Latvia,2022,"787,05",245,LV
Lithuania,2022,"1.258,79",246,LT
Luxembourg,2022,"265,22",247,LU
Hungary,2022,"4.259,12",248,HU
Malta,2022,"247,07",249,MT
Netherlands,2022,"8.130,00",250,NL
Austria,2022,"3.990,95",251,AT
Poland,2022,"13.911,00",252,PL
Portugal,2022,"4.355,27",253,PT
Romania,2022,"6.807,70",254,RO
Slovenia,2022,"880,96",255,SI
Slovakia,2022,"2.147,60",256,SK
Finland,2022,"2.446,70",257,FI
Sweden,2022,"4.683,40",258,SE
Iceland,2022,"199,10",259,IS
Liechtenstein,2022,"19,88",260,LI
Norway,2022,"2.711,00",261,NO
Switzerland,2022,"4.296,34",262,CH
United Kingdom,2022,:,263,UK
Serbia,2022,"2.260,86",264,RS
Belgium,2023,"4.284,90",265,BE
Bulgaria,2023,"2.647,26",266,BG
Czechia,2023,"4.562,41",267,CZ
Denmark,2023,"2.987,57",268,DK
Germany,2023,"41.953,00",269,DE
Estonia,2023,"625,38",270,EE
Ireland,2023,"2.315,41",271,IE
Greece,2023,"3.666,56",272,EL
Spain,2023,"18.366,80",273,ES
France,2023,"27.588,10",274,FR
Croatia,2023,"1.400,81",275,HR
Italy,2023,"19.501,20",276,IT
Cyprus,2023,"434,35",277,CY
Latvia,2023,"808,39",278,LV
Lithuania,2023,"1.289,40",279,LT
Luxembourg,2023,"270,00",280,LU
Hungary,2023,"4.309,80",281,HU
Malta,2023,"263,89",282,MT
Netherlands,2023,"8.239,00",283,NL
Austria,2023,"4.031,41",284,AT
Poland,2023,"13.871,00",285,PL
Portugal,2023,"4.479,04",286,PT
Romania,2023,"6.733,98",287,RO
Slovenia,2023,"893,13",288,SI
Slovakia,2023,"2.146,74",289,SK
Finland,2023,"2.499,10",290,FI
Sweden,2023,"4.747,00",291,SE
Iceland,2023,"208,10",292,IS
Liechtenstein,2023,"20,00",293,LI
Norway,2023,"2.748,00",294,NO
Switzerland,2023,"4.379,32",295,CH
United Kingdom,2023,:,296,UK
Serbia,2023,"2.305,96",297,RS
Belgium,Unnamed: 10,,298,BE
Bulgaria,Unnamed: 10,,299,BG
Czechia,Unnamed: 10,,300,CZ
Denmark,Unnamed: 10,,301,DK
Germany,Unnamed: 10,,302,DE
Estonia,Unnamed: 10,,303,EE
Ireland,Unnamed: 10,,304,IE
Greece,Unnamed: 10,,305,EL
Spain,Unnamed: 10,,306,ES
France,Unnamed: 10,,307,FR
Croatia,Unnamed: 10,,308,HR
Italy,Unnamed: 10,,309,IT
Cyprus,Unnamed: 10,,310,CY
Latvia,Unnamed: 10,,311,LV
Lithuania,Unnamed: 10,,312,LT
Luxembourg,Unnamed: 10,,313,LU
Hungary,Unnamed: 10,,314,HU
Malta,Unnamed: 10,,315,MT
Netherlands,Unnamed: 10,,316,NL
Austria,Unnamed: 10,,317,AT
Poland,Unnamed: 10,,318,PL
Portugal,Unnamed: 10,,319,PT
Romania,Unnamed: 10,,320,RO
Slovenia,Unnamed: 10,,321,SI
Slovakia,Unnamed: 10,,322,SK
Finland,Unnamed: 10,,323,FI
Sweden,Unnamed: 10,,324,SE
Iceland,Unnamed: 10,,325,IS
Liechtenstein,Unnamed: 10,,326,LI
Norway,Unnamed: 10,,327,NO
Switzerland,Unnamed: 10,,328,CH
United Kingdom,Unnamed: 10,,329,UK
Serbia,Unnamed: 10,,330,RS
Belgium,Unnamed: 11,,331,BE
Bulgaria,Unnamed: 11,,332,BG
Czechia,Unnamed: 11,,333,CZ
Denmark,Unnamed: 11,,334,DK
Germany,Unnamed: 11,,335,DE
Estonia,Unnamed: 11,,336,EE
Ireland,Unnamed: 11,,337,IE
Greece,Unnamed: 11,,338,EL
Spain,Unnamed: 11,,339,ES
France,Unnamed: 11,,340,FR
Croatia,Unnamed: 11,,341,HR
Italy,Unnamed: 11,,342,IT
Cyprus,Unnamed: 11,,343,CY
Latvia,Unnamed: 11,,344,LV
Lithuania,Unnamed: 11,,345,LT
Luxembourg,Unnamed: 11,,346,LU
Hungary,Unnamed: 11,,347,HU
Malta,Unnamed: 11,,348,MT
Netherlands,Unnamed: 11,,349,NL
Austria,Unnamed: 11,,350,AT
Poland,Unnamed: 11,,351,PL
Portugal,Unnamed: 11,,352,PT
Romania,Unnamed: 11,,353,RO
Slovenia,Unnamed: 11,,354,SI
Slovakia,Unnamed: 11,,355,SK
Finland,Unnamed: 11,,356,FI
Sweden,Unnamed: 11,,357,SE
Iceland,Unnamed: 11,,358,IS
Liechtenstein,Unnamed: 11,,359,LI
Norway,Unnamed: 11,,360,NO
Switzerland,Unnamed: 11,,361,CH
United Kingdom,Unnamed: 11,,362,UK
Serbia,Unnamed: 11,,363,RS
